model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error,dataset,training_type,base_model_id
A4,79,-3.46207395195961,199,A4Model,3.6761413,0.3005050505050505,1.3719097481222884e-126,1.8609983728659065,False,1.5587238,0.48856615867046327,1.4572968,ou_process,non_adversarial,
A3,57,0.00011111257757057125,199,A3Model,4.676668,0.3813131313131313,1.3607464920823129e-205,2.8216165893594245,False,4.4994774,0.45290969970519973,4.1541786,ou_process,non_adversarial,
B5,100,0.44033289700746536,9027,B5Model,0.5052191,0.5372474747474747,0.0,0.3575061475728535,False,0.48708507,-0.6803985708234339,0.4739606,ou_process,non_adversarial,
B2,17,-0.47552322410047054,9027,B2Model,1.0475533,0.2212752525252525,2.432252032643349e-68,0.4033544394435099,False,0.37175605,0.5340867357296056,0.2831254,ou_process,non_adversarial,
B3,8,-4.066603988409042,9027,B3Model,0.7402192,0.19412878787878787,1.3446739610632885e-52,0.1919269741931106,False,0.11887297,0.5775940401507699,0.10033279,ou_process,non_adversarial,
B4,23,0.13439535163342953,9027,B4Model,0.6489794,0.07733585858585859,1.1625426627692687e-08,0.07921035086457384,False,0.12331894,0.4795762798194745,0.095953256,ou_process,non_adversarial,
A2,57,-0.4101083539426327,199,A2Model,2.6541831,0.2803030303030303,5.713878118674717e-110,1.4560840219070763,False,2.0981286,0.4077377062068682,2.0132992,ou_process,non_adversarial,
B1,11,-1.553712701787032,9027,B1Model,0.59151536,0.12089646464646464,1.3985066025985635e-20,0.14302851771338448,False,0.29239014,0.43223452967750553,0.27885672,ou_process,non_adversarial,
A1,79,-3.46207395195961,199,A1FinalModel,2.6521819,0.2904040404040404,3.984837299990584e-118,1.4503897215142336,False,3.1869435,0.6283754126039394,2.9566631,ou_process,non_adversarial,
A4,16,-7.45443320274353,199,A4Model,1.182122,0.10732323232323232,2.6645275362454555e-16,0.21814669473093606,False,0.70303077,0.8293765324046677,0.6826626,heston,non_adversarial,
A3,70,0.26481904843680204,199,A3Model,18.821093,0.33428030303030304,3.8529665767649526e-157,7.511380753970721,False,19.392061,0.06153893730938831,18.201239,heston,non_adversarial,
B5,87,0.06276975898072124,9027,B5Model,0.53436285,0.5643939393939394,0.0,0.3854598068974982,False,0.51645976,-0.9356070443076278,0.48901933,heston,non_adversarial,
B2,8,0.5496572274714708,9027,B2Model,0.64310974,0.5129419191919192,0.0,0.3306114795361759,False,0.3000682,0.23503116501131205,0.25927922,heston,non_adversarial,
B3,11,-7.366117298603058,9027,B3Model,0.5426627,0.5287247474747475,0.0,0.3837986406194312,False,0.50322825,-0.9873459643655536,0.47294354,heston,non_adversarial,
B4,24,0.06961060571484268,9027,B4Model,0.5470811,0.28724747474747475,1.5211184096200696e-115,0.28539975043754984,False,0.38742432,0.8506918907509606,0.3621203,heston,non_adversarial,
A2,40,-0.9266527220606804,199,A2Model,1.875354,0.28377525252525254,9.718161364701329e-113,0.8574623456870358,False,1.5195109,0.5220126810979914,1.4246225,heston,non_adversarial,
B1,8,-0.9265078517556955,9027,B1Model,0.6331345,0.3402777777777778,6.220565300105715e-163,0.3155586986332135,False,0.33597246,0.6371725866266196,0.31228065,heston,non_adversarial,
A1,25,-7.444044351577759,199,A1FinalModel,1.2372695,0.1148989898989899,1.2593273845486032e-18,0.34228653330320435,False,0.56350416,0.9056453977573234,0.5025976,heston,non_adversarial,
A4,16,-7.542646408081055,199,A4Model,1.9234531,0.26957070707070707,1.228777332602501e-101,1.0169131257856898,False,1.6837199,0.8445821113880203,1.5265512,rbergomi,non_adversarial,
A3,98,0.3376081863970266,199,A3Model,42.122795,0.4706439393939394,1.6314265e-317,20.433989450449843,False,81.66248,-0.23058044173071085,77.04717,rbergomi,non_adversarial,
B5,75,0.04951948579400778,9027,B5Model,0.5061478,0.5151515151515151,0.0,0.37681966654325133,False,0.5027878,-0.9440291520445548,0.4728825,rbergomi,non_adversarial,
B2,11,0.5623612459748983,9027,B2Model,0.68977475,0.21717171717171718,7.976962504526863e-66,0.2015573588271516,False,0.16077022,0.8521901630189646,0.13540953,rbergomi,non_adversarial,
B3,9,-7.493896096944809,9027,B3Model,0.50511134,0.5047348484848485,0.0,0.37541027750035255,False,0.48685586,-0.7187670829928039,0.45474607,rbergomi,non_adversarial,
B4,26,0.06362263881601393,9027,B4Model,0.5337923,0.32417929292929293,1.2277649493726398e-147,0.27101479755047975,False,0.40896204,0.2877945939402995,0.3742452,rbergomi,non_adversarial,
A2,46,-0.9311449602246284,199,A2Model,2.2842002,0.28125,1.01211010874347e-110,1.1555511583856795,False,1.5017455,0.5066484534472463,1.4048636,rbergomi,non_adversarial,
B1,5,-0.903194210383442,9027,B1Model,0.6759453,0.16982323232323232,2.7236610408616033e-40,0.14536930483870375,False,0.12854403,0.836129322298036,0.10646926,rbergomi,non_adversarial,
A1,27,-7.565753221511841,199,A1FinalModel,1.0072653,0.1893939393939394,4.549441746129013e-50,0.35942610607718156,False,0.4325051,0.8013831926535151,0.38689923,rbergomi,non_adversarial,
A4,25,-2.8526949882507324,199,A4Model,1.773907,0.21938131313131312,3.574438927623791e-67,0.6407836745662426,False,1.2286031,0.29301178345549944,1.1685308,brownian,non_adversarial,
A3,100,-0.0016160920454191263,199,A3Model,4.5688863,0.3317550505050505,9.798480731971054e-155,2.6631468466026824,False,4.3778577,0.7984170060532212,4.040052,brownian,non_adversarial,
B5,100,0.6672042794525623,9027,B5Model,0.5742253,0.39109848484848486,1.4710867586028222e-216,0.2819040926674874,False,0.49459708,-0.8801956356881744,0.46712783,brownian,non_adversarial,
B2,12,-0.17484335927292705,9027,B2Model,0.7666669,0.3125,4.857981373940508e-137,0.3616435775454808,False,0.08619205,0.911457995660751,0.0718021,brownian,non_adversarial,
B3,21,-2.7008599899709225,9027,B3Model,0.8203509,0.15625,3.787934307780208e-34,0.1844346746527736,False,0.17591536,0.911033754895118,0.15513988,brownian,non_adversarial,
B4,10,0.24601945653557777,9027,B4Model,1.0999156,0.24779040404040403,8.940336005434756e-86,0.4991236140700732,False,0.34711024,0.92747458352797,0.32579747,brownian,non_adversarial,
A2,46,-0.31360772624611855,199,A2Model,2.9664643,0.29987373737373735,4.7346438396074414e-126,1.706807884012363,False,2.205177,0.7521796314860006,2.0394483,brownian,non_adversarial,
B1,42,-2.3185764258405546,9027,B1Model,0.832412,0.2534722222222222,8.875525140383386e-90,0.2648421435829144,False,0.31974763,-0.4111310312417896,0.28889126,brownian,non_adversarial,
A1,29,-3.0633535981178284,199,A1FinalModel,2.2272713,0.2490530303030303,1.174763669570283e-86,0.9500427281095976,False,1.0291879,0.38689614718446946,0.9614563,brownian,non_adversarial,
A4,40,-3.3619496822357178,199,A4Model,2.3669727,0.29608585858585856,7.546989829110059e-123,1.1951401825958392,False,1.9732931,0.719426348502641,1.8993586,fbm_h03,non_adversarial,
A3,98,7.552579665537351e-05,199,A3Model,2.0933578,0.22916666666666666,2.575607045187444e-73,0.9965132863766452,False,2.230944,0.5353145791997773,2.080976,fbm_h03,non_adversarial,
B5,100,0.6373266354203224,9027,B5Model,0.6789569,0.5356691919191919,0.0,0.29642159398809836,False,0.48842555,-0.668525904581274,0.4617448,fbm_h03,non_adversarial,
B2,20,-0.04186003963695839,9027,B2Model,0.9415598,0.6571969696969697,0.0,0.7213722503551221,False,0.34821376,-0.9516222756706693,0.30790767,fbm_h03,non_adversarial,
B3,29,-2.8300695195794106,9027,B3Model,0.83323,0.28251262626262624,9.972157927565057e-112,0.302431648334128,False,0.22597632,0.9554320815623134,0.21405649,fbm_h03,non_adversarial,
B4,13,0.20552128367125988,9027,B4Model,0.8073335,0.19381313131313133,1.9917390738850513e-52,0.20661744861890058,False,0.20211038,0.8350373199722005,0.18229918,fbm_h03,non_adversarial,
A2,19,-0.3061366640031338,199,A2Model,3.0591707,0.3740530303030303,1.1765244605073326e-197,1.8356855905333167,False,2.957804,0.6557789811749365,2.8288324,fbm_h03,non_adversarial,
B1,4,-2.193648081401564,9027,B1Model,0.7858261,0.6710858585858586,0.0,0.5882308630596714,False,0.3992227,-0.9643817589257072,0.35519585,fbm_h03,non_adversarial,
A1,18,-2.6528738141059875,199,A1FinalModel,2.6039255,0.28377525252525254,9.718161364701329e-113,1.3269344990888392,False,1.4386121,0.47119136071778556,1.3422929,fbm_h03,non_adversarial,
A4,43,-3.3057932555675507,199,A4Model,2.1697257,0.24084595959595959,5.195483147001652e-81,1.0732749854922885,False,1.0575144,0.45585720059908297,0.98317456,fbm_h04,non_adversarial,
A3,95,-5.100341074038006e-06,199,A3Model,8.578564,0.3658459595959596,6.913458733830259e-189,4.900614249297012,False,11.497182,0.18587706022985523,10.981645,fbm_h04,non_adversarial,
B5,100,0.7658950686454773,9027,B5Model,0.63866496,0.16224747474747475,8.475136927135574e-37,0.1378002630852812,False,0.5312389,0.003069300581513449,0.51371336,fbm_h04,non_adversarial,
B2,22,-0.12247128714807332,9027,B2Model,0.6620214,0.13036616161616163,7.16336516163176e-24,0.16055227361057128,False,0.26905102,0.6537331902194788,0.2510267,fbm_h04,non_adversarial,
B3,19,-2.478882610797882,9027,B3Model,0.89156896,0.1369949494949495,2.5260055233749129e-26,0.13065514490735397,False,0.17269874,0.9565194076524421,0.1534366,fbm_h04,non_adversarial,
B4,21,0.21416314411908388,9027,B4Model,0.9326054,0.15467171717171718,1.8153930931685936e-33,0.2311585087063301,False,0.14030541,0.8222189687789574,0.1059346,fbm_h04,non_adversarial,
A2,30,-0.30807477980852127,199,A2Model,2.9946141,0.3298611111111111,6.056787564838669e-153,1.599252327063249,False,1.4675237,0.36928872501616244,1.3720033,fbm_h04,non_adversarial,
B1,24,-1.9995279799861871,9027,B1Model,1.1628827,0.29545454545454547,2.5545364897029285e-122,0.5252657081581023,False,0.3841306,0.7911884962212468,0.37262967,fbm_h04,non_adversarial,
A1,43,-2.956542670726776,199,A1FinalModel,3.883835,0.3191287878787879,5.284512497251454e-143,2.337034364638816,False,2.8839536,0.6314681072723415,2.7449489,fbm_h04,non_adversarial,
A4,38,-2.967857301235199,199,A4Model,1.7896227,0.2673611111111111,5.787699421712347e-100,0.8071697554516937,False,1.074917,0.3746457923358087,0.94393927,fbm_h06,non_adversarial,
A3,100,-0.00830620135697091,199,A3Model,5.1664414,0.3645833333333333,1.4782936213969046e-187,3.150065888049939,False,4.3534036,0.4011737010682543,4.1064954,fbm_h06,non_adversarial,
B5,43,0.6446786411106586,9027,B5Model,0.59513956,0.16982323232323232,2.7236610408616033e-40,0.21419967977951243,False,0.52469105,-0.8971148621973217,0.5043859,fbm_h06,non_adversarial,
B2,7,-0.31359272124245763,9027,B2Model,1.2291225,0.21843434343434343,1.3580605118397378e-66,0.38747560688003113,False,0.26383483,0.8953428549424715,0.23099683,fbm_h06,non_adversarial,
B3,18,-2.8728002086281776,9027,B3Model,0.7005694,0.18623737373737373,2.0353402749062745e-48,0.14427065384799992,False,0.14234398,0.7905627398368122,0.10337439,fbm_h06,non_adversarial,
B4,6,0.22209018375724554,9027,B4Model,0.8184525,0.04040404040404041,0.011342921427718115,0.060288282275947,False,0.2022254,0.8486398583636537,0.16284975,fbm_h06,non_adversarial,
A2,35,-0.35134250670671463,199,A2Model,2.0844116,0.22001262626262627,1.4631668327889313e-67,0.7947357104203963,False,1.3671939,0.10227705863186201,1.2336943,fbm_h06,non_adversarial,
B1,12,-1.5657477949657412,9027,B1Model,0.56457925,0.4154040404040404,3.7787261621597096e-245,0.3707815347170116,False,0.44564405,0.5026045884379331,0.427045,fbm_h06,non_adversarial,
A1,31,-3.2521864771842957,199,A1FinalModel,2.8738382,0.31186868686868685,1.7676921405782286e-136,1.6657840620061983,False,1.7262416,0.5519869375826595,1.6575532,fbm_h06,non_adversarial,
A4,47,-3.552038699388504,199,A4Model,1.7211393,0.24526515151515152,5.013543180657367e-84,0.8703684404041692,False,1.6237164,0.4070304844310792,1.5427716,fbm_h07,non_adversarial,
A3,64,0.00011896048920900792,199,A3Model,4.758269,0.375,1.109040345578035e-198,3.102511041809337,False,4.286229,0.6031895336902268,4.1523743,fbm_h07,non_adversarial,
B5,80,0.4436293225735426,9027,B5Model,0.563185,0.41414141414141414,1.2897915412768566e-243,0.33782336342467556,False,0.46903867,-0.8726663335108708,0.45589197,fbm_h07,non_adversarial,
B2,5,-0.16822345042601228,9027,B2Model,0.7082883,0.1976010101010101,1.7101648739247647e-54,0.1875277641834467,False,0.19324018,0.9456516138704263,0.17456096,fbm_h07,non_adversarial,
B3,16,-2.8645114079117775,9027,B3Model,0.78827196,0.15214646464646464,2.154155985593337e-32,0.18463591077500616,False,0.18216954,0.8738061426292847,0.15166813,fbm_h07,non_adversarial,
B4,17,0.18907828023657203,9027,B4Model,0.7776381,0.3614267676767677,2.9703377945093287e-184,0.366823619503098,False,0.10946088,0.881065743625081,0.097732455,fbm_h07,non_adversarial,
A2,30,-0.38731927052140236,199,A2Model,3.3952765,0.29577020202020204,1.3889708757653924e-122,1.585534902230154,False,2.5797582,0.24678337243361212,2.4345763,fbm_h07,non_adversarial,
B1,18,-1.5981223202030854,9027,B1Model,0.52601385,0.3721590909090909,1.2980916149662256e-195,0.2776162915711716,False,0.35948664,0.5390191880718503,0.347825,fbm_h07,non_adversarial,
A1,37,-3.1751475632190704,199,A1FinalModel,1.4912343,0.20738636363636365,5.070829411593783e-60,0.5844766558121786,False,1.0265294,-0.06814941769893845,0.95446074,fbm_h07,non_adversarial,
A3_ADV,82,0.01509045623242855,200,AdversarialModelWrapper,2.330456,0.28535353535353536,5.2103796514121284e-114,1.2080346529635784,False,1.8934218,0.7408714247524796,1.7906114,ou_process,adversarial,A3
A2_ADV,67,0.010156167686439233,200,AdversarialModelWrapper,2.1576557,0.24337121212121213,9.98817957464882e-83,1.0096020319905232,False,1.5621357,0.3601757131694166,1.4986608,ou_process,adversarial,A2
B5_ADV,7,1.385164667848585,9028,AdversarialModelWrapper,0.5573331,0.25375,7.004086927940616e-91,0.3098928536655342,False,0.39799738,0.2974076431073821,0.37594613,ou_process,adversarial,B5
B4_ADV,2,0.9574630632996559,9028,AdversarialModelWrapper,0.550436,0.4121875,1.095610327570119e-243,0.39950505279968523,False,0.51294404,0.8249537799843364,0.49532568,ou_process,adversarial,B4
